hanzi_simplified,hanzi_traditional,pinyin,meaning,mnemonic_simplified,mnemonic_traditional,hsk
的,的,de,diana,"En esta extraña feria, hay un CUCHARÓN BLANCO que sirve como DIANA, al cual hay que apuntar para ganar un premio.","En esta extraña feria, hay un CUCHARÓN BLANCO que sirve como DIANA, al cual hay que apuntar para ganar un premio.",1
了,了瞭,le,completar,Este NIÑO está COMPLETAMENTE envuelto en su bolsa para bebé.,Este NIÑO está COMPLETAMENTE envuelto en su bolsa para bebé.,1
在,在,zài,existir,Sólo un TALENTOSO elige bien la TIERRA en la cual va a EXISTIR.,Sólo un TALENTOSO elige bien la TIERRA en la cual va a EXISTIR.,1
是,是,shì,"correcto, ser",El DÍA CORRECTO siempre va a ser CORRECTO.,El DÍA CORRECTO siempre va a ser CORRECTO.,1
我,我,wǒ,yo,Con la MANO una LANZA lanzo YO.,Con la MANO una LANZA lanzo YO.,1
一,一,yī,uno,En la escritura china y japonesa el número UNO se representa con un trazo horizontal.,En la escritura china y japonesa el número UNO se representa con un trazo horizontal.,1
有,有,yǒu,"tener, haber",Esta persona con CARNE a su LADO la TIENE para la cena.,Esta persona con CARNE a su LADO la TIENE para la cena.,1
他,他,tā,,,,1
这,這,zhè,,,,1
个,個,gè,,,,1
和,和,hé,,,,1
不,不,bù,no,"A esta PERSONA desde el TECHO le cayó una GOTA al despertar, fue un despertar NEGATIVO.","A esta PERSONA desde el TECHO le cayó una GOTA al despertar, fue un despertar NEGATIVO.",1
就,就,jiù,,,,1
也,也,yě,,,,1
人,人,rén,persona,"Este pictograma de una PERSONA, representa a alguien caminando hacia afuera, hacia la derecha.","Este pictograma de una PERSONA, representa a alguien caminando hacia afuera, hacia la derecha.",1
你,你,nǐ,,,,1
说,說,shuō,,,,1
们,們,men,,,,1
上,上,shàng,,,,1
都,都,dōu,,,,1
对,對,duì,"correcto, par",OTRA VEZ MEDIMOS para asegurarnos de que está CORRECTO.,-,1
要,要,yào,,,,1
点,點,diǎn,,,,1
到,到,dào,,,,1
多,多,duō,,,,1
会,會,huì,"reunión, poder",Usamos PARAGUAS cuando en las NUBES se ha REUNIDO lluvia.,-,1
着,著,zhe,,,,1
来,來,lái,,,,1
她,她,tā,,,,1
还,還,hái,,,,1
没,沒,méi,,,,1
很,很,hěn,,,,1
好,好,hǎo,gustar,Una MUJER y un NIÑO son del GUSTO de todos.,Una MUJER y un NIÑO son del GUSTO de todos.,1
中,中,zhōng,,,,1
年,秊年,nián,año,"Nuestra máscara de celebración es un CABALLO con GAFAS, ¡Feliz AÑO nuevo!","Nuestra máscara de celebración es un CABALLO con GAFAS, ¡Feliz AÑO nuevo!",1
大,大,dà,grande,Pictograma de UNA PERSONA GRANDE.,Pictograma de UNA PERSONA GRANDE.,1
给,給,gěi,,,,1
从,從,cóng,"seguir, desde, a través",Esta PERSONA a esta otra PERSONA SIGUE.,-,1
看,看,kàn,,,,1
去,去,qù,,,,1
能,能,néng,,,,1
两,兩,liǎng,,,,1
下,下,xià,,,,1
做,做,zuò,,,,1
等,等,děng,,,,1
三,三,sān,tres,En la escritura china y japonesa el número TRES se representa con tres trazos horizontales.,En la escritura china y japonesa el número TRES se representa con tres trazos horizontales.,1
里,里裡,lǐ,,,,1
过,過,guò,,,,1
那,那,nà,,,,1
后,後后,hòu,,,,1
想,想,xiǎng,,,,1
地,地,dì,,,,1
用,用,yòng,"uso, necesidad",Para apuntar a la LUNA este BASTÓN USAMOS.,Para apuntar a la LUNA este BASTÓN USAMOS.,1
出,出,chū,salir,A dos MONTAÑAS hoy vamos a SALIR.,A dos MONTAÑAS hoy vamos a SALIR.,1
现,現,xiàn,,,,1
次,次,cì,,,,1
最,最,zuì,,,,1
什,什,shén,,,,1
么,麼,me,,,,1
小,小,xiǎo,pequeño,"Estas tres GOTAS, son las más PEQUEÑAS del mundo.","Estas tres GOTAS, son las más PEQUEÑAS del mundo.",1
月,月,yuè,"luna, mes",Pictograma de la LUNA.,Pictograma de la LUNA.,1
天,天,tiān,cielo,El TECHO más GRANDE es el CIELO.,El TECHO más GRANDE es el CIELO.,1
工,工,gōng,"técnica, trabajo","Pictograma de una viga, representación de la TÉCNICA de construcción.","Pictograma de una viga, representación de la TÉCNICA de construcción.",1
作,作,zuò,,,,1
家,家,jiā,,,,1
再,再,zài,,,,1
时,時,shí,,,,1
间,間,jiān,,,,1
前,前,qián,,,,1
新,新,xīn,,,,1
候,候,hòu,,,,1
些,些,xiē,,,,1
比,比,bǐ,comparar,"Con dos CUCHARAS, una en cada mano, estás COMPARANDO la comida de tu madre con la de tu suegra. Y las comparaciones nunca fueron buenas.","Con dos CUCHARAS, una en cada mano, estás COMPARANDO la comida de tu madre con la de tu suegra. Y las comparaciones nunca fueron buenas.",1
走,走,zǒu,"caminar, correr",En este TERRENO de manera CORRECTA corremos y CAMINAMOS.,En este TERRENO de manera CORRECTA corremos y CAMINAMOS.,1
太,太,tài,,,,1
找,找,zhǎo,,,,1
四,四,sì,cuatro,"Curiosamente, esta BOCA dice que sus PIERNAS son CUATRO.","Curiosamente, esta BOCA dice que sus PIERNAS son CUATRO.",1
几,幾几,jǐ,"mesa, cuánto",Pictograma de una MESA para contar cuántos documentos tenemos.,Esta PERSONA tiene LANZAS y CAPULLOS y en su mesa cuenta CUÁNTOS.,1
本,本,běn,libro,UN solo trozo de ÁRBOL puede crear un LIBRO entero.,UN solo trozo de ÁRBOL puede crear un LIBRO entero.,1
打,打,dǎ,,,,1
呢,呢,ne,,,,1
事,事,shì,,,,1
起,起,qǐ,,,,1
车,車,chē,vehículo,"En UN arrozal gané suficiente para comprar DIEZ más DIEZ, es decir, veinte VEHÍCULOS.","En un ARROZAL gané suficiente para comprar DIEZ más DIEZ, es decir, veinte VEHÍCULOS.",1
非,非,fēi,,,,1
常,常,cháng,habitual,Esta ESTIMADA TOALLA la usamos de manera HABITUAL.,Esta ESTIMADA TOALLA la usamos de manera HABITUAL.,1
知,知,zhī,,,,1
道,道,dào,,,,1
手,手,shǒu,,,,1
今,今,jīn,,,,1
五,五,wǔ,cinco,"Tanto LLAVES, como BASTONES, no podemos tener UNO, necesitamos CINCO.","Tanto LLAVES, como BASTONES, no podemos tener UNO, necesitamos CINCO.",1
二,二,èr,dos,En la escritura china y japonesa el número DOS se representa con dos trazos horizontales.,En la escritura china y japonesa el número DOS se representa con dos trazos horizontales.,1
吗,嗎,ma,,,,1
真,真,zhēn,,,,1
跟,跟,gēn,,,,1
孩,孩,hái,,,,1
子,子,zi,niño,Pictograma de un NIÑO semi envuelto en una bolsa para bebé.,Pictograma de un NIÑO semi envuelto en una bolsa para bebé.,1
高,高,gāo,alto,Este EXTRATERRESTRE se ha puesto esta CHISTERA y exclamó por su BOCA sorprendido por verse más ALTO con ella puesta.,Este EXTRATERRESTRE se ha puesto esta CHISTERA y exclamó por su BOCA sorprendido por verse más ALTO con ella puesta.,1
日,日,rì,"día, sol","Pictograma del sol, el cual marca el transcurso de nuestros DÍAS.","Pictograma del sol, el cual marca el transcurso de nuestros DÍAS.",1
觉,覺,jué,,,,1
得,得,dé,,,,1
